"text","chapter","chapter-title"
"How many cities with more than 250,000 people lie within 500 miles of Dallas,","chapter-1","Data Structures and Algorithms"
"Texas? How many people in my company make over $100,000 per year? Can we","chapter-1","Data Structures and Algorithms"
"connect all of our telephone customers with less than 1,000 miles of cable? To","chapter-1","Data Structures and Algorithms"
"answer questions like these, it is not enough to have the necessary information. We","chapter-1","Data Structures and Algorithms"
"must organize that information in a way that allows us to find the answers in time","chapter-1","Data Structures and Algorithms"
"to satisfy our needs.","chapter-1","Data Structures and Algorithms"
"Representing information is fundamental to computer science. The primary","chapter-1","Data Structures and Algorithms"
"purpose of most computer programs is not to perform calculations, but to store and","chapter-1","Data Structures and Algorithms"
"retrieve information — usually as fast as possible. For this reason, the study of","chapter-1","Data Structures and Algorithms"
"data structures and the algorithms that manipulate them is at the heart of computer","chapter-1","Data Structures and Algorithms"
"science. And that is what this book is about — helping you to understand how to","chapter-1","Data Structures and Algorithms"
"structure information to support efficient processing.","chapter-1","Data Structures and Algorithms"
"This book has three primary goals. The first is to present the commonly used","chapter-1","Data Structures and Algorithms"
"data structures. These form a programmer’s basic data structure “toolkit.” For","chapter-1","Data Structures and Algorithms"
"many problems, some data structure in the toolkit provides a good solution.","chapter-1","Data Structures and Algorithms"
"The second goal is to introduce the idea of tradeoffs and reinforce the concept","chapter-1","Data Structures and Algorithms"
"that there are costs and benefits associated with every data structure. This is done","chapter-1","Data Structures and Algorithms"
"by describing, for each data structure, the amount of space and time required for","chapter-1","Data Structures and Algorithms"
"typical operations.","chapter-1","Data Structures and Algorithms"
"The third goal is to teach how to measure the effectiveness of a data structure or","chapter-1","Data Structures and Algorithms"
"algorithm. Only through such measurement can you determine which data structure","chapter-1","Data Structures and Algorithms"
"in your toolkit is most appropriate for a new problem. The techniques presented","chapter-1","Data Structures and Algorithms"
"also allow you to judge the merits of new data structures that you or others might","chapter-1","Data Structures and Algorithms"
"invent.","chapter-1","Data Structures and Algorithms"
"There are often many approaches to solving a problem. How do we choose","chapter-1","Data Structures and Algorithms"
"between them? At the heart of computer program design are two (sometimes con-","chapter-1","Data Structures and Algorithms"
"flicting) goals:","chapter-1","Data Structures and Algorithms"
"1. To design an algorithm that is easy to understand, code, and debug.","chapter-1","Data Structures and Algorithms"
"2. To design an algorithm that makes efficient use of the computer’s resources.","chapter-1","Data Structures and Algorithms"
"4 Chap. 1 Data Structures and Algorithms","chapter-1","Data Structures and Algorithms"
"Ideally, the resulting program is true to both of these goals. We might say that","chapter-1","Data Structures and Algorithms"
"such a program is “elegant.” While the algorithms and program code examples pre-","chapter-1","Data Structures and Algorithms"
"sented here attempt to be elegant in this sense, it is not the purpose of this book to","chapter-1","Data Structures and Algorithms"
"explicitly treat issues related to goal (1). These are primarily concerns of the disci-","chapter-1","Data Structures and Algorithms"
"pline of Software Engineering. Rather, this book is mostly about issues relating to goal (2).","chapter-1","Data Structures and Algorithms"
"How do we measure efficiency? Chapter 3 describes a method for evaluating","chapter-1","Data Structures and Algorithms"
"the efficiency of an algorithm or computer program, called asymptotic analysis.","chapter-1","Data Structures and Algorithms"
"Asymptotic analysis also allows you to measure the inherent difficulty of a problem.","chapter-1","Data Structures and Algorithms"
"The remaining chapters use asymptotic analysis techniques to estimate the time cost","chapter-1","Data Structures and Algorithms"
"for every algorithm presented. This allows you to see how each algorithm compares","chapter-1","Data Structures and Algorithms"
"to other algorithms for solving the same problem in terms of its efficiency.","chapter-1","Data Structures and Algorithms"
"This first chapter sets the stage for what is to follow, by presenting some higher-","chapter-1","Data Structures and Algorithms"
"order issues related to the selection and use of data structures. We first examine the","chapter-1","Data Structures and Algorithms"
"process by which a designer selects a data structure appropriate to the task at hand.","chapter-1","Data Structures and Algorithms"
"We then consider the role of abstraction in program design. We briefly consider","chapter-1","Data Structures and Algorithms"
"the concept of a design pattern and see some examples. The chapter ends with an","chapter-1","Data Structures and Algorithms"
"exploration of the relationship between problems, algorithms, and programs.","chapter-1","Data Structures and Algorithms"
"You might think that with ever more powerful computers, program efficiency is","chapter-1","Data Structures and Algorithms"
"becoming less important. After all, processor speed and memory size still con-","chapter-1","Data Structures and Algorithms"
"tinue to improve. Won’t any efficiency problem we might have today be solved by tomorrow’s hardware?","chapter-1","Data Structures and Algorithms"
"As we develop more powerful computers, our history so far has always been to","chapter-1","Data Structures and Algorithms"
"use that additional computing power to tackle more complex problems, be it in the","chapter-1","Data Structures and Algorithms"
"form of more sophisticated user interfaces, bigger problem sizes, or new problems","chapter-1","Data Structures and Algorithms"
"previously deemed computationally infeasible. More complex problems demand","chapter-1","Data Structures and Algorithms"
"more computation, making the need for efficient programs even greater. Worse yet,","chapter-1","Data Structures and Algorithms"
"as tasks become more complex, they become less like our everyday experience.","chapter-1","Data Structures and Algorithms"
"Today’s computer scientists must be trained to have a thorough understanding of the","chapter-1","Data Structures and Algorithms"
"principles behind efficient program design, because their ordinary life experiences","chapter-1","Data Structures and Algorithms"
"often do not apply when designing computer programs.","chapter-1","Data Structures and Algorithms"
"In the most general sense, a data structure is any data representation and its","chapter-1","Data Structures and Algorithms"
"associated operations. Even an integer or floating point number stored on the com-","chapter-1","Data Structures and Algorithms"
"puter can be viewed as a simple data structure. More commonly, people use the","chapter-1","Data Structures and Algorithms"
"term “data structure” to mean an organization or structuring for a collection of data","chapter-1","Data Structures and Algorithms"
"items. A sorted list of integers stored in an array is an example of such a structuring.","chapter-1","Data Structures and Algorithms"
"Given sufficient space to store a collection of data items, it is always possible to","chapter-1","Data Structures and Algorithms"
"search for specified items within the collection, print or otherwise process the data","chapter-1","Data Structures and Algorithms"
"items in any desired order, or modify the value of any particular data item. Thus,","chapter-1","Data Structures and Algorithms"
"it is possible to perform all necessary operations on any data structure. However,","chapter-1","Data Structures and Algorithms"
"using the proper data structure can make the difference between a program running","chapter-1","Data Structures and Algorithms"
"in a few seconds and one requiring many days.","chapter-1","Data Structures and Algorithms"
"A solution is said to be efficient if it solves the problem within the required","chapter-1","Data Structures and Algorithms"
"resource constraints. Examples of resource constraints include the total space","chapter-1","Data Structures and Algorithms"
"available to store the data — possibly divided into separate main memory and disk","chapter-1","Data Structures and Algorithms"
"space constraints — and the time allowed to perform each subtask. A solution is","chapter-1","Data Structures and Algorithms"
"sometimes said to be efficient if it requires fewer resources than known alternatives,","chapter-1","Data Structures and Algorithms"
"regardless of whether it meets any particular requirements. The cost of a solution is","chapter-1","Data Structures and Algorithms"
"the amount of resources that the solution consumes. Most often, cost is measured","chapter-1","Data Structures and Algorithms"
"in terms of one key resource such as time, with the implied assumption that the","chapter-1","Data Structures and Algorithms"
